	GUIDS		|	Iterations
========================|========================
	HOL:2ABS3981	|	4893
	HOL:2ACT0138	|	4591
	HOL:2BLS0025	|	6200
	HOL:2BMR0027	|	5267
	HOL:2CAM0181	|	5689
	HOL:2CAM0306	|	4926
	HOL:2CAM0449	|	8015
	HOL:2CAM0502	|	4510
	HOL:2CRK0065	|	5758
	HOL:2CRK0233	|	5199
	HOL:2CRK0258	|	5901
	HOL:2CTS0001	|	24125
	HOL:2CTS0012	|	6469
	HOL:2CTS0192	|	9128
	HOL:2FPS0002	|	9154
	HOL:2KNC0025	|	5693
	HOL:2MAP0001	|	11550
	HOL:2MAP0005	|	13381
	HOL:2OPS0034	|	12464
	HOL:2OPS0035	|	9544
	HOL:2OTS0002	|	25636
	HOL:2VSS0001	|	4969
	HOL:2VSS0042	|	14396
	HOL:2VSS0043	|	9275
	HOL:2VSS0558	|	10082
	HOL:2VSS0560	|	10082
	HOL:2VTS0059	|	5604
