	GUIDS		|	Iterations
========================|========================
	HOL:2ABS0001	|	547
	HOL:2ABS0002	|	547
	HOL:2ABS0003	|	326
	HOL:2ABS0004	|	30
	HOL:2ABS0005	|	95
	HOL:2ABS0006	|	7
	HOL:2ABS0007	|	21
	HOL:2ABS0008	|	157
	HOL:2ABS0009	|	26
	HOL:2ABS0010	|	25
	HOL:2ABS0011	|	123
	HOL:2ABS0012	|	15
	HOL:2ABS0013	|	83
	HOL:2ABS0014	|	9
	HOL:2ABS0015	|	391
	HOL:2ABS0019	|	1254
	HOL:2ABS0020	|	1254
	HOL:2ABS0021	|	894
	HOL:2ABS0022	|	741
	HOL:2ABS0023	|	95
	HOL:2ABS0027	|	43
	HOL:2ABS0028	|	321
	HOL:2ABS0029	|	321
	HOL:2ABS0031	|	46
	HOL:2ABS0032	|	89
	HOL:2ABS0033	|	41
	HOL:2ABS0034	|	53
	HOL:2ABS0035	|	21
	HOL:2ABS0036	|	29
	HOL:2ABS0037	|	6
	HOL:2ABS0038	|	6
	HOL:2ABS0039	|	2
	HOL:2ABS0040	|	9
	HOL:2ABS0041	|	17
	HOL:2ABS0042	|	13
	HOL:2ABS0043	|	13
	HOL:2ABS0044	|	17
	HOL:2ABS0047	|	413
	HOL:2ABS0052	|	130
	HOL:2ABS0053	|	32
	HOL:2ABS0054	|	27
	HOL:2ABS0055	|	27
	HOL:2ABS0056	|	17
	HOL:2ABS0057	|	11
	HOL:2ABS0058	|	89
	HOL:2ABS0060	|	9
	HOL:2ABS0061	|	9
	HOL:2ABS0062	|	9
	HOL:2ABS0064	|	5
	HOL:2ABS0065	|	38
	HOL:2ABS0066	|	43
	HOL:2ABS0067	|	119
	HOL:2ABS0068	|	119
	HOL:2ABS0069	|	34
	HOL:2ABS0070	|	47
	HOL:2ABS0071	|	47
	HOL:2ABS0072	|	47
	HOL:2ABS0073	|	47
	HOL:2ABS0074	|	45
	HOL:2ABS0075	|	71
	HOL:2ABS0076	|	88
	HOL:2ABS0077	|	88
	HOL:2ABS0078	|	10
	HOL:2ABS0079	|	20
	HOL:2ABS0080	|	20
	HOL:2ABS0081	|	24
	HOL:2ABS0082	|	36
	HOL:2ABS0083	|	19
	HOL:2ABS0084	|	55
	HOL:2ABS0085	|	27
	HOL:2ABS0086	|	56
	HOL:2ABS0087	|	150
	HOL:2ABS0088	|	130
	HOL:2ABS0089	|	20
	HOL:2ABS0092	|	90
	HOL:2ABS0093	|	19
	HOL:2ABS0094	|	19
	HOL:2ABS0095	|	93
	HOL:2ABS0096	|	89
	HOL:2ABS0097	|	34
	HOL:2ABS0098	|	46
	HOL:2ABS0099	|	102
	HOL:2ABS0100	|	56
	HOL:2ABS0101	|	26
	HOL:2ABS0102	|	140
	HOL:2ABS0103	|	7
