	GUIDS		|	Iterations
========================|========================
	HOL:2ABS0001	|	2188
	HOL:2ABS0002	|	2188
	HOL:2ABS0015	|	1564
	HOL:2ABS0019	|	5016
	HOL:2ABS0020	|	5016
	HOL:2ABS0021	|	3576
	HOL:2ABS0022	|	2964
	HOL:2ABS0047	|	1652
	HOL:2ABS0156	|	6200
	HOL:2ABS0171	|	3388
	HOL:2ABS0181	|	3996
	HOL:2ABS0276	|	10076
	HOL:2ABS0279	|	2512
	HOL:2ABS0280	|	2512
	HOL:2ABS0284	|	3332
	HOL:2ABS0285	|	3332
	HOL:2ABS0286	|	16628
	HOL:2ABS0293	|	1964
	HOL:2ABS0298	|	1964
	HOL:2ABS0339	|	1612
	HOL:2ABS0341	|	5048
	HOL:2ABS0409	|	2024
	HOL:2ABS0447	|	1544
	HOL:2ABS0453	|	1908
	HOL:2ABS0454	|	1660
	HOL:2ABS0455	|	1932
	HOL:2ABS0457	|	6208
	HOL:2ABS0481	|	1576
	HOL:2ABS0485	|	2184
	HOL:2ABS0486	|	7704
	HOL:2ABS0506	|	2156
	HOL:2ABS0537	|	3344
	HOL:2ABS0544	|	3344
	HOL:2ABS0626	|	3260
	HOL:2ABS0627	|	3260
	HOL:2ABS0680	|	1952
	HOL:2ABS0799	|	2492
	HOL:2ABS0800	|	5820
	HOL:2ABS0944	|	2240
	HOL:2ABS0957	|	7540
	HOL:2ABS0963	|	1672
	HOL:2ABS1148	|	1992
	HOL:2ABS1150	|	1992
	HOL:2ABS1158	|	2088
	HOL:2ABS1162	|	1628
	HOL:2ABS1165	|	1628
	HOL:2ABS1351	|	9784
	HOL:2ABS1378	|	6120
	HOL:2ABS1438	|	2572
	HOL:2ABS1445	|	2572
	HOL:2ABS1542	|	5700
	HOL:2ABS1543	|	7540
	HOL:2ABS1547	|	16584
	HOL:2ABS1901	|	2160
	HOL:2ABS2270	|	2644
	HOL:2ABS2390	|	2424
	HOL:2ABS2391	|	2424
	HOL:2ABS2398	|	5216
	HOL:2ABS2597	|	2012
	HOL:2ABS2678	|	2900
	HOL:2ABS2679	|	9368
	HOL:2ABS2695	|	2512
	HOL:2ABS2715	|	1540
	HOL:2ABS2830	|	1616
	HOL:2ABS2846	|	3820
	HOL:2ABS2850	|	1648
	HOL:2ABS2851	|	1648
	HOL:2ABS2862	|	1580
	HOL:2ABS2871	|	5900
	HOL:2ABS2898	|	3820
	HOL:2ABS3105	|	5080
	HOL:2ABS3151	|	1984
	HOL:2ABS3177	|	1892
	HOL:2ABS3178	|	2012
	HOL:2ABS3298	|	2376
	HOL:2ABS3299	|	2372
	HOL:2ABS3300	|	2372
	HOL:2ABS3311	|	2560
	HOL:2ABS3981	|	19572
	HOL:2ACT0138	|	18364
	HOL:2BLS0002	|	5124
	HOL:2BLS0011	|	3032
	HOL:2BLS0013	|	2732
	HOL:2BLS0015	|	6916
	HOL:2BLS0019	|	2104
	HOL:2BLS0020	|	1736
	HOL:2BLS0025	|	24800
	HOL:2BMR0004	|	1832
	HOL:2BMR0019	|	4820
	HOL:2BMR0027	|	21068
	HOL:2BMR0029	|	3728
	HOL:2BMR0037	|	2116
	HOL:2BMR0040	|	4780
	HOL:2BMR0042	|	2340
	HOL:2BMR0077	|	12648
	HOL:2BMR0078	|	3144
	HOL:2BMR0085	|	6120
	HOL:2BMR0087	|	12624
	HOL:2BMR0098	|	8020
	HOL:2BMR0243	|	4388
	HOL:2BMR0246	|	7724
	HOL:2BMR0251	|	1856
	HOL:2BMR0265	|	1628
	HOL:2BMR0278	|	1608
	HOL:2BMR0284	|	16844
	HOL:2BMR0293	|	5136
	HOL:2BMR0294	|	4772
	HOL:2BMR0342	|	1500
	HOL:2BMR0355	|	2664
	HOL:2BMR0358	|	9048
	HOL:2BMR0476	|	1676
	HOL:2BMR0588	|	4056
	HOL:2BMR0596	|	3080
	HOL:2BMR0612	|	1928
	HOL:2BMR0630	|	3480
	HOL:2BMR0637	|	2520
	HOL:2BMR0679	|	1668
	HOL:2BMR0709	|	13856
	HOL:2BMR1001	|	1720
	HOL:2BMR1002	|	3324
	HOL:2BMR1014	|	1528
	HOL:2BWS0022	|	1716
	HOL:2BWS0177	|	3412
	HOL:2CAM0004	|	2356
	HOL:2CAM0027	|	1816
	HOL:2CAM0028	|	1740
	HOL:2CAM0029	|	1976
	HOL:2CAM0031	|	2228
	HOL:2CAM0032	|	4120
	HOL:2CAM0036	|	2068
	HOL:2CAM0047	|	2924
	HOL:2CAM0057	|	7648
	HOL:2CAM0083	|	4388
	HOL:2CAM0086	|	3392
	HOL:2CAM0087	|	3204
	HOL:2CAM0094	|	4932
	HOL:2CAM0099	|	2568
	HOL:2CAM0107	|	1600
	HOL:2CAM0134	|	3176
	HOL:2CAM0135	|	5096
	HOL:2CAM0154	|	3184
	HOL:2CAM0166	|	2360
	HOL:2CAM0181	|	22756
	HOL:2CAM0183	|	1504
	HOL:2CAM0184	|	3944
	HOL:2CAM0189	|	2232
	HOL:2CAM0192	|	2100
	HOL:2CAM0201	|	6972
	HOL:2CAM0204	|	3848
	HOL:2CAM0205	|	1708
	HOL:2CAM0291	|	4400
	HOL:2CAM0303	|	4300
	HOL:2CAM0305	|	1800
	HOL:2CAM0306	|	19704
	HOL:2CAM0307	|	3208
	HOL:2CAM0308	|	2688
	HOL:2CAM0327	|	1568
	HOL:2CAM0341	|	1836
	HOL:2CAM0368	|	2312
	HOL:2CAM0371	|	4180
	HOL:2CAM0387	|	3376
	HOL:2CAM0389	|	2424
	HOL:2CAM0391	|	2912
	HOL:2CAM0433	|	2040
	HOL:2CAM0449	|	32060
	HOL:2CAM0468	|	16716
	HOL:2CAM0477	|	4308
	HOL:2CAM0502	|	18040
	HOL:2CAM0519	|	8976
	HOL:2CAM0522	|	4160
	HOL:2CRK0023	|	1724
	HOL:2CRK0028	|	4732
	HOL:2CRK0029	|	17940
	HOL:2CRK0041	|	3480
	HOL:2CRK0060	|	2176
	HOL:2CRK0063	|	3452
	HOL:2CRK0065	|	23032
	HOL:2CRK0118	|	2248
	HOL:2CRK0127	|	5164
	HOL:2CRK0149	|	3188
	HOL:2CRK0153	|	1548
	HOL:2CRK0154	|	1540
	HOL:2CRK0156	|	1884
	HOL:2CRK0160	|	1932
	HOL:2CRK0183	|	1940
	HOL:2CRK0193	|	1860
	HOL:2CRK0215	|	2844
	HOL:2CRK0223	|	3528
	HOL:2CRK0228	|	2084
	HOL:2CRK0233	|	20796
	HOL:2CRK0242	|	1500
	HOL:2CRK0248	|	4308
	HOL:2CRK0258	|	23604
	HOL:2CRK0259	|	11708
	HOL:2CRK0261	|	1700
	HOL:2CRK0262	|	1524
	HOL:2CRK0265	|	1708
	HOL:2CRK0300	|	2204
	HOL:2CRK0307	|	3176
	HOL:2CRK0309	|	2548
	HOL:2CRK0313	|	1776
	HOL:2CRK0314	|	1816
	HOL:2CRK0318	|	1540
	HOL:2CRK0320	|	2648
	HOL:2CRK0327	|	2112
	HOL:2CRK0328	|	1596
	HOL:2CRK0333	|	2172
	HOL:2CRK0351	|	2656
	HOL:2CRK0352	|	2484
	HOL:2CRK0359	|	4388
	HOL:2CRK0361	|	4172
	HOL:2CRK0375	|	3376
	HOL:2CRK0377	|	2424
	HOL:2CRK0379	|	2488
	HOL:2CRK0401	|	3688
	HOL:2CRK0407	|	4400
	HOL:2CRK0413	|	14344
	HOL:2CRK0452	|	13164
	HOL:2CRK0545	|	2040
	HOL:2CRK0632	|	6972
	HOL:2CTS0001	|	96500
	HOL:2CTS0004	|	7228
	HOL:2CTS0006	|	6608
	HOL:2CTS0012	|	25876
	HOL:2CTS0016	|	3208
	HOL:2CTS0026	|	9180
	HOL:2CTS0037	|	3208
	HOL:2CTS0039	|	5832
	HOL:2CTS0044	|	3400
	HOL:2CTS0051	|	9792
	HOL:2CTS0054	|	3192
	HOL:2CTS0059	|	2292
	HOL:2CTS0075	|	3168
	HOL:2CTS0111	|	6092
	HOL:2CTS0121	|	2244
	HOL:2CTS0123	|	1788
	HOL:2CTS0146	|	5832
	HOL:2CTS0192	|	36512
	HOL:2CTS0193	|	2752
	HOL:2CTS0219	|	4812
	HOL:2CTS0220	|	5280
	HOL:2CTS0221	|	1504
	HOL:2FMS0002	|	12008
	HOL:2FPS0001	|	2504
	HOL:2FPS0002	|	36616
	HOL:2FPS0003	|	5796
	HOL:2FPS0008	|	7344
	HOL:2FPS0009	|	9548
	HOL:2FPS0010	|	13608
	HOL:2IAC0021	|	3660
	HOL:2IAC0022	|	2704
	HOL:2IGC0222	|	2692
	HOL:2ISW0003	|	3412
	HOL:2KNC0023	|	2152
	HOL:2KNC0025	|	22772
	HOL:2KNC0026	|	1636
	HOL:2KNC0029	|	13856
	HOL:2KNC0031	|	12352
	HOL:2KNC0054	|	5520
	HOL:2KNC0061	|	3132
	HOL:2KNC0066	|	1520
	HOL:2KNC0072	|	2108
	HOL:2KNC0114	|	6688
	HOL:2KNC0129	|	3792
	HOL:2KNC0130	|	16644
	HOL:2KNC0156	|	17132
	HOL:2KNC0198	|	7916
	HOL:2KNC0212	|	3116
	HOL:2KNC0213	|	5504
	HOL:2MAP0001	|	46200
	HOL:2MAP0005	|	53524
	HOL:2MAP0006	|	5852
	HOL:2MAP0012	|	17428
	HOL:2MAP0013	|	3912
	HOL:2MAP0071	|	3028
	HOL:2MAP0204	|	4652
	HOL:2MAP3012	|	3180
	HOL:2MAP3013	|	5028
	HOL:2MAP4002	|	9096
	HOL:2MAP4004	|	2592
	HOL:2OPS0003	|	8024
	HOL:2OPS0031	|	15624
	HOL:2OPS0034	|	49856
	HOL:2OPS0035	|	38176
	HOL:2OPS0036	|	13672
	HOL:2OTS0002	|	102544
	HOL:2OTS0009	|	2640
	HOL:2PDC0001	|	8368
	HOL:2SBK0002	|	3504
	HOL:2TPS0037	|	1640
	HOL:2TPS0059	|	10604
	HOL:2TPS0061	|	3756
	HOL:2VSS0001	|	19876
	HOL:2VSS0002	|	2064
	HOL:2VSS0006	|	2672
	HOL:2VSS0008	|	7140
	HOL:2VSS0013	|	12576
	HOL:2VSS0025	|	2620
	HOL:2VSS0042	|	57584
	HOL:2VSS0043	|	37100
	HOL:2VSS0045	|	2988
	HOL:2VSS0047	|	15064
	HOL:2VSS0048	|	3128
	HOL:2VSS0051	|	2796
	HOL:2VSS0052	|	5716
	HOL:2VSS0053	|	3060
	HOL:2VSS0054	|	4588
	HOL:2VSS0056	|	3788
	HOL:2VSS0058	|	1744
	HOL:2VSS0061	|	5404
	HOL:2VSS0065	|	2896
	HOL:2VSS0068	|	3332
	HOL:2VSS0073	|	1692
	HOL:2VSS0079	|	1716
	HOL:2VSS0101	|	3584
	HOL:2VSS0114	|	4308
